State,House,S.No.,MP Name,Constituency,District,Total Entitlement (in Crore),"Total GOI Release 
 (in Crore)",Total Release Pending (in Crore),"UnSanction Balance 
(in Crore)","UnSpent Balance
(in Crore)","Last Inst. 
No.",Last Inst. Yr.,"Last Release 
Date","Last Release
Amount
(in Crore)",Column16,Pending Inst. No & Year.,Reasons for not Release
A & N Islands,8,1,SHRI. kuldeep rai sharma,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,17,5,12,-5.72,2.68,2,2019-2020,14-03-2022,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,8,1,Dr Beesetti Venkata Satyavathi,ANAKAPALLE,Anakapalli,17,7,10,0.26,2.75,1,2022-2023,19-04-2023,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Andhra Pradesh,null,2,Dr. Sanjeev Kumar Singari,KURNOOL,KURNOOL,19.5,7,12.5,-4.23,0.01,1,2021-2022,20-02-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2018-2019,2 / 2022-2023",
Andhra Pradesh,null,3,Ms. Goddeti Madhavi,ARAKU(ST),Alluri Sitharama Raju,17,7,10,-1.71,0.64,1,2021-2022,10-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,4,Shri Adala Reddy,NELLORE(SC),NELLORE,17,5,12,-1.04,1.9,2,2019-2020,23-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",A/C Balance Mismatch in MPR and Bank A/C.
Andhra Pradesh,null,5,Shri Chandra Sekhar Bellana,VIZIANAGARAM,VIZIANAGARAM,17,7,10,0.02,2.21,1,2021-2022,17-06-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,6,Shri Durga Prasad Rao Balli-Ex,TIRUPATI(SC),NELLORE,10,5,5,0.55,3.16,2,2019-2020,24-06-2021,2.5,null,1 / 2023-2024,Eligible MPR not Received.
Andhra Pradesh,null,7,Shri Kinjarapu Ram Mohan Naidu,SRIKAKULAM,SRIKAKULAM,17,9.5,7.5,-2.69,1.06,1,2022-2023,30-11-2022,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Andhra Pradesh,null,8,Shri Kotagiri Sridhar,ELURU,Eluru,17,7,10,-10.03,1.49,1,2021-2022,13-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Andhra Pradesh,null,9,Shri Magunta Sreenivasulu Reddy,ONGOLE,PRAKASAM,24.5,5,19.5,-6.87,1.67,2,2019-2020,30-03-2020,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,1 / 2018-2019,2 / 2018-2019,2 / 2017-2018,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,10,Shri Midhun Reddy,RAJAMPET,Annamayya,19.5,7,12.5,-11.54,2.09,1,2021-2022,24-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2018-2019,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,11,Shri Nallakonda Gari Reddeppa,CHITTOOR,CHITTOOR,17,7,10,-10.22,4.12,1,2021-2022,30-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,12,Shri Raghu Ramakrishna Raju Kanumuru,NARASAPURAM,WEST GODAVARI,17,5,12,4.68,9.6,2,2019-2020,24-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,13,Shri Srinivas Kesineni,VIJAYAWADA,NTR,17,9.5,7.5,-7.7,2.78,1,2022-2023,13-03-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023",
Andhra Pradesh,null,14,Shri Y. S. Avinash Reddy,KADAPA,CUDDAPAH,17,7,10,-1.45,2.92,1,2021-2022,14-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,15,SHRI. Balashowry Vallabbhaneni,MACHILIPATNAM,KRISHNA,17,7,10,-5.22,2.91,1,2021-2022,23-03-2023,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Andhra Pradesh,null,16,SHRI. Jayadev Galla,GUNTUR,GUNTUR,17,5,12,-3.12,2.36,2,2019-2020,23-03-2021,2.5,null,"1 / 2021-2022,1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Andhra Pradesh,null,17,SHRI. Kuruva Gorantla Madhav,HINDUPUR,Sri Sathya Sai,17,9.5,7.5,-6.36,2.16,1,2022-2023,17-01-2023,2.5,null,"1 / 2023-2024,2 / 2022-2023","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending."
Andhra Pradesh,null,18,SHRI. Lavu Sri Krishna Devarayalu,NARASARAOPET,Palnadu,17,7,10,-2.1,1.24,1,2021-2022,30-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
Andhra Pradesh,null,19,SHRI. Maddila Gurumoorthy,TIRUPATI(SC),Tirupati,12,2,10,-7.45,2.43,1,2021-2022,28-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",Eligible MPR not Received.
Andhra Pradesh,null,20,SHRI. Margani Bharat,RAJAHMUNDRY,EAST GODAVARI,17,7,10,-8.52,2.24,1,2021-2022,21-03-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,21,SHRI. MVVV Satyanarayana,VISAKHAPATNAM,VISAKHAPATNAM,17,7,10,0.93,2,1,2021-2022,10-11-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,22,SHRI. Nandigam Suresh,BAPATLA,Bapatla,17,7,10,-8.21,0.02,1,2021-2022,30-05-2022,2,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023","Eligible MPR not Received, Provisional Utilisation Certificate Pending."
Andhra Pradesh,null,23,SHRI. Pocha Brahmananda Reddy,NANDYAL,Nandyal,27,17,10,-4.08,2.3,1,2017-2018,17-03-2023,2.5,null,"1 / 2022-2023,1 / 2023-2024,2 / 2022-2023",
